eye_am_pyth0n@mac108:~/mac108-project$ ./term_monitor.py
WARNING: 2.57.122.188 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 3 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 2 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 3 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 4 failed attempt(s), 0 accepted
WARNING: 2.57.122.199 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 5 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 4 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 5 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 6 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 7 failed attempt(s), 0 accepted
WARNING: 2.57.122.195 has 2 failed attempt(s), 0 accepted
WARNING: 2.57.122.195 has 3 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 8 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 9 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 10 failed attempt(s), 0 accepted
WARNING: 2.57.122.195 has 4 failed attempt(s), 0 accepted
WARNING: 2.57.122.195 has 5 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 11 failed attempt(s), 0 accepted
WARNING: 45.148.10.141 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 12 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 3 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 4 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 5 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 13 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 14 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 15 failed attempt(s), 0 accepted
WARNING: 92.118.39.236 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 16 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 17 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 6 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 7 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 18 failed attempt(s), 0 accepted
WARNING: 45.148.10.151 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 19 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 20 failed attempt(s), 0 accepted
WARNING: 45.227.254.170 has 2 failed attempt(s), 0 accepted
WARNING: 45.227.254.170 has 3 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 21 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 22 failed attempt(s), 0 accepted
WARNING: 92.118.39.197 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 23 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 3 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 4 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 5 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 24 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 6 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 25 failed attempt(s), 0 accepted
WARNING: 92.118.39.236 has 3 failed attempt(s), 0 accepted
WARNING: 92.118.39.236 has 4 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 26 failed attempt(s), 0 accepted
WARNING: 45.148.10.157 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 27 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 28 failed attempt(s), 0 accepted
WARNING: 2.57.122.194 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 29 failed attempt(s), 0 accepted
WARNING: 2.57.122.197 has 2 failed attempt(s), 0 accepted
WARNING: 2.57.122.197 has 3 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 30 failed attempt(s), 0 accepted
WARNING: 45.227.254.170 has 4 failed attempt(s), 0 accepted
WARNING: 45.227.254.170 has 5 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 31 failed attempt(s), 0 accepted
WARNING: 45.227.254.170 has 6 failed attempt(s), 0 accepted
WARNING: 45.227.254.170 has 7 failed attempt(s), 0 accepted
WARNING: 45.227.254.170 has 8 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 32 failed attempt(s), 0 accepted
WARNING: 2.57.122.189 has 2 failed attempt(s), 0 accepted
WARNING: 95.105.28.117 has 33 failed attempt(s), 0 accepted

