TenantId,SourceSystem,"TimeGenerated [UTC]",MG,Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,CollectorHostName,Type,"_ResourceId"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:18.649 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:18.000 PM",authpriv,mac108,notice,"pam_unix(sshd:auth): authentication failure  logname= uid=0 euid=0 tty=ssh ruser= rhost=2.57.122.197  user=root",14581,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:32.206 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:32.000 PM",authpriv,mac108,notice,"PAM 4 more authentication failures  logname= uid=0 euid=0 tty=ssh ruser= rhost=2.57.122.197  user=root",14581,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:32.206 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:32.000 PM",authpriv,mac108,notice,"PAM service(sshd) ignoring max retries  5 > 3",14581,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:53.355 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:53.000 PM",authpriv,mac108,notice,"pam_unix(sshd:auth): check pass  user unknown",14580,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:53.355 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:53.000 PM",authpriv,mac108,notice,"pam_unix(sshd:auth): authentication failure  logname= uid=0 euid=0 tty=ssh ruser= rhost=95.105.28.117 ",14580,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:20.313 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:20.000 PM",auth,mac108,info,"Failed password for root from 2.57.122.197 port 29784 ssh2",14581,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:32.205 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:30.000 PM",auth,mac108,info,"message repeated 4 times: [ Failed password for root from 2.57.122.197 port 29784 ssh2]",14581,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:32.206 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:32.000 PM",auth,mac108,info,"Connection reset by authenticating user root 2.57.122.197 port 29784 [preauth]",14581,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:53.353 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:53.000 PM",auth,mac108,info,"Invalid user teste from 95.105.28.117 port 45330",14580,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:08:55.490 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:08:55.000 PM",auth,mac108,info,"Failed password for invalid user teste from 95.105.28.117 port 45330 ssh2",14580,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
