eye_am_pyth0n@mac108:~$ ./mac108-project/term_monitor.py                               WARNING: 2.57.122.238 has 2 failed attempt(s), 0 accepted                              WARNING: 2.57.122.238 has 3 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 4 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 5 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 6 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 7 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 8 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 9 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 10 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 11 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 12 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 13 failed attempt(s), 0 accepted
WARNING: 80.94.92.171 has 2 failed attempt(s), 0 accepted
WARNING: 80.94.92.171 has 3 failed attempt(s), 0 accepted
WARNING: 80.94.92.171 has 4 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 2 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 3 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 4 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 5 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 14 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 6 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 7 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 8 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 9 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 15 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 10 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 11 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 12 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 16 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 13 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 14 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 15 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 17 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 16 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 17 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 18 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 18 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 19 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 20 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 21 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 22 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 19 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 23 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 24 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 20 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 25 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 26 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 27 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 21 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 28 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 29 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 30 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 31 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 22 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 32 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 33 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 34 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 23 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 35 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 36 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 37 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 24 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 38 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 39 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 40 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 25 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 41 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 42 failed attempt(s), 0 accepted
WARNING: 2.57.122.238 has 26 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 43 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 44 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 45 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 46 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 47 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 48 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 49 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 50 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 51 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 52 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 53 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 54 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 55 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 56 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 57 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 58 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 59 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 60 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 61 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 62 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 63 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 64 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 2 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 3 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 4 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 5 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 6 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 7 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 8 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 65 failed attempt(s), 0 accepted
